Classe::DRA402_11	DRA402;00011;5.0;2.5;1;dumm;B204;Gr41,Gr42,Gr43,Gr44
Classe::DRA402_21	DRA402;00021;5.0;2.5;2;dumm;B204;Gr41,Gr42,Gr43,Gr44
Classe::ECR404_11	ECR404;00011;5.0;2.5;1;beas;nil;Gr41,Gr42,Gr43,Gr44
Classe::ECR404_12	ECR404;00012;5.0;2.5;1;desl;nil;Gr41,Gr42,Gr43,Gr44
Classe::ECR404_21	ECR404;00021;5.0;2.5;2;beas;nil;Gr41,Gr42,Gr43,Gr44
Classe::ECR404_22	ECR404;00022;5.0;2.5;2;desl;nil;Gr41,Gr42,Gr43,Gr44
Classe::GTR402_11	GTR402;00011;5.0;2.5;1;bruj;B108;Gr41,Gr42,Gr43,Gr44

MetaClasse::ART4B	Cycle_unique2;ART402_12;ART402_22;DRA402_12;ECR404_13;ECR404_23
Classe::ART402_12	ART402;00012;5.0;2.5;1;wilj;nil;Gr45,Gr46
Classe::ART402_22	ART402;00022;5.0;2.5;2;wilj;nil;Gr45,Gr46
Classe::DRA402_12	DRA402;00012;5.0;2.5;1;dumm;nil;Gr45,Gr46
Classe::ECR404_13	ECR404;00013;5.0;2.5;1;desl;nil;Gr45,Gr46
Classe::ECR404_23	ECR404;00023;5.0;2.5;2;desl;nil;Gr45,Gr46

MetaClasse::ART4C	Cycle_unique2;DRA402_13;DRA402_23;ECR404_15;ECR404_25;GTR402_23
Classe::DRA402_13	DRA402;00013;5.0;2.5;1;dumm;nil;Gr47,Gr48
Classe::DRA402_23	DRA402;00023;5.0;2.5;2;dumm;B204;Gr47,Gr48
Classe::ECR404_15	ECR404;00015;5.0;2.5;1;beas;nil;Gr47,Gr48
Classe::ECR404_25	ECR404;00025;5.0;2.5;2;beas;nil;Gr47,Gr48
Classe::GTR402_23	GTR402;00023;5.0;2.5;2;bruj;B108;Gr47,Gr48

MetaClasse::ART5A	Cycle_unique2;ART502_11;ART502_21;CBO502_11;DAN502_21;DRA502_11;ECR502_11;ECR502_12;ECR502_21;ECR502_22;GTR502_21
Classe::ART502_11	ART502;00011;4.0;2.0;1;wilj;B016;Gr51,Gr52,Gr53,Gr54
Classe::ART502_21	ART502;00021;4.0;2.0;2;wilj;nil;Gr51,Gr52,Gr53,Gr54
Classe::CBO502_11	CBO502;00011;4.0;2.0;1;simc;E03;Gr51,Gr52,Gr53,Gr54
Classe::DAN502_21	DAN502;00021;4.0;2.0;2;bedk;Pales;Gr51,Gr52,Gr53,Gr54
