Classe::ECR202_24	ECR202;00024;2.0;2.0;0;chod;nil;Gr24

MetaClasse::ECR25	Cycle1;ECR202_25
Classe::ECR202_25	ECR202;00025;2.0;2.0;0;chod;nil;Gr25

MetaClasse::ECR26	Cycle1;ECR202_26
Classe::ECR202_26	ECR202;00026;2.0;2.0;0;chod;nil;Gr26

MetaClasse::ECR27	Cycle1;ECR202_27
Classe::ECR202_27	ECR202;00027;2.0;2.0;0;beas;C104;Gr27

MetaClasse::ECR28	Cycle1;ECR202_28
Classe::ECR202_28	ECR202;00028;2.0;2.0;0;beas;C104;Gr28

MetaClasse::ECR29	Cycle1;ECR202_29
Classe::ECR202_29	ECR202;00029;2.0;2.0;0;chod;nil;Gr29

MetaClasse::ESP22	Cycle1;ESP242_22
Classe::ESP242_22	ESP242;00022;3.0;3.0;0;zelg;P8;Gr22

MetaClasse::ESP24	Cycle1;ESP242_24
Classe::ESP242_24	ESP242;00024;3.0;3.0;0;zelg;P8;Gr24

MetaClasse::ESP26	Cycle1;ESP242_26
Classe::ESP242_26	ESP242;00026;3.0;3.0;0;zelg;P8;Gr26

MetaClasse::ESP32	Cycle2;ESP312_32
Classe::ESP312_32	ESP312;00032;2.0;2.0;0;zelg;nil;Gr32

MetaClasse::ESP34	Cycle2;ESP312_34
Classe::ESP312_34	ESP312;00034;2.0;2.0;0;zelg;nil;Gr34

MetaClasse::ESP36	Cycle2;ESP312_36
Classe::ESP312_36	ESP312;00036;2.0;2.0;0;zelg;nil;Gr36

MetaClasse::FM5A	Cycle2;FRA506P_01;FRA506_03;FRA506_05;MAT504_01;MAT506_01
Classe::FRA506P_01	FRA506P;00001;7.0;7.0;0;laub;B110;Gr51,Gr53,Gr58,Gr59
Classe::FRA506_03	FRA506;00003;7.0;7.0;0;lapc;C103;Gr51,Gr53,Gr58,Gr59
Classe::FRA506_05	FRA506;00005;7.0;7.0;0;lamb;nil;Gr51,Gr53,Gr58,Gr59
Classe::MAT504_01	MAT504;00001;7.0;7.0;0;mere;B115;Gr51,Gr53,Gr58,Gr59
Classe::MAT506_01	MAT506;00001;7.0;7.0;0;boic;B11;Gr51,Gr53,Gr58,Gr59

MetaClasse::FM5B	Cycle2;FRA506P_02;FRA506_04;MAT506_02;MAT506_03;MAT506_04
Classe::FRA506P_02	FRA506P;00002;7.0;7.0;0;laub;B110;Gr51,Gr53,Gr58,Gr59
Classe::FRA506_04	FRA506;00004;7.0;7.0;0;lapc;C103;Gr51,Gr53,Gr58,Gr59
Classe::MAT506_02	MAT506;00002;7.0;7.0;0;menm;B10;Gr51,Gr53,Gr58,Gr59
Classe::MAT506_03	MAT506;00003;7.0;7.0;0;boic;B11;Gr51,Gr53,Gr58,Gr59
Classe::MAT506_04	MAT506;00004;7.0;7.0;0;remm;B13;Gr51,Gr53,Gr58,Gr59

MetaClasse::FRA21	Cycle1;FRA208_21
Classe::FRA208_21	FRA208;00021;8.0;8.0;0;proj;P303;Gr21

MetaClasse::FRA21X	Cycle1;FRA216x_21
Classe::FRA216x_21	FRA216x;00021;1.0;1.0;0;proj;P303;Gr21

MetaClasse::FRA22	Cycle1;FRA208E_22
Classe::FRA208E_22	FRA208E;00022;8.0;8.0;0;bedk;C106;Gr22

MetaClasse::FRA23	Cycle1;FRA208_23
Classe::FRA208_23	FRA208;00023;8.0;8.0;0;duci;P203;Gr23

MetaClasse::ART102	Cycle1;ART104_102
Classe::ART104_102	ART104;00102;3.0;3.0;0;robip;I113;Gr102

MetaClasse::ART103	Cycle1;ART104_103
Classe::ART104_103	ART104;00103;3.0;3.0;0;robip;I113;Gr103

MetaClasse::ART105	Cycle1;ART104_105
Classe::ART104_105	ART104;00105;3.0;3.0;0;wilj;B016;Gr105

MetaClasse::ART106	Cycle1;ART104_106
Classe::ART104_106	ART104;00106;3.0;3.0;0;robip;I113;Gr106

MetaClasse::ART107	Cycle1;ART104_107
Classe::ART104_107	ART104;00107;3.0;3.0;0;robip;I113;Gr107

MetaClasse::ART108	Cycle1;ART104_108
Classe::ART104_108	ART104;00108;3.0;3.0;0;robip;I113;Gr108

MetaClasse::ART109	Cycle1;ART104_109
Classe::ART104_109	ART104;00109;3.0;3.0;0;wilj;B016;Gr109

MetaClasse::ECR101	Cycle1;ECR102_101
Classe::ECR102_101	ECR102;00101;2.0;2.0;0;perj;nil;Gr101

MetaClasse::ECR102	Cycle1;ECR102_102
Classe::ECR102_102	ECR102;00102;2.0;2.0;0;perj;nil;Gr102

MetaClasse::ECR103	Cycle1;ECR102_103
Classe::ECR102_103	ECR102;00103;2.0;2.0;0;perj;nil;Gr103

MetaClasse::ECR104	Cycle1;ECR102_104
Classe::ECR102_104	ECR102;00104;2.0;2.0;0;arsm;nil;Gr104

MetaClasse::ECR105	Cycle1;ECR102_105
Classe::ECR102_105	ECR102;00105;2.0;2.0;0;arsm;nil;Gr105

MetaClasse::ECR106	Cycle1;ECR102_106
Classe::ECR102_106	ECR102;00106;2.0;2.0;0;arsm;nil;Gr106

MetaClasse::ECR107	Cycle1;ECR102_107
Classe::ECR102_107	ECR102;00107;2.0;2.0;0;arsm;nil;Gr107

MetaClasse::ECR108	Cycle1;ECR102_108
Classe::ECR102_108	ECR102;00108;2.0;2.0;0;perj;nil;Gr108

MetaClasse::ECR109	Cycle1;ECR102_109
Classe::ECR102_109	ECR102;00109;2.0;2.0;0;perj;nil;Gr109

MetaClasse::FRA101X	Cycle1;FRA100x_101
Classe::FRA100x_101	FRA100x;00101;1.0;1.0;0;bran;G201;Gr101

MetaClasse::FRA103X	Cycle1;FRA100x_103
Classe::FRA100x_103	FRA100x;00103;1.0;1.0;0;maro;G301;Gr103

MetaClasse::FRA107X	Cycle1;FRA100x_107
Classe::FRA100x_107	FRA100x;00107;1.0;1.0;0;arsm;nil;Gr107

MetaClasse::FRA109X	Cycle1;FRA100x_109
Classe::FRA100x_109	FRA100x;00109;1.0;1.0;0;bran;G201;Gr109

MetaClasse::FRA101	Cycle1;FRA108_101
Classe::FRA108_101	FRA108;00101;8.0;8.0;0;bran;G201;Gr101

MetaClasse::FRA103	Cycle1;FRA108_103
Classe::FRA108_103	FRA108;00103;8.0;8.0;0;maro;G301;Gr103

MetaClasse::FRA105	Cycle1;FRA108_105
Classe::FRA108_105	FRA108;00105;8.0;8.0;0;arsm;nil;Gr105

MetaClasse::FRA107	Cycle1;FRA108_107
Classe::FRA108_107	FRA108;00107;8.0;8.0;0;arsm;nil;Gr107

MetaClasse::FRA108	Cycle1;FRA108E_108
Classe::FRA108E_108	FRA108E;00108;8.0;8.0;0;maro;G301;Gr108

MetaClasse::FRA109	Cycle1;FRA108_109
Classe::FRA108_109	FRA108;00109;8.0;8.0;0;bran;G201;Gr109

MetaClasse::FRA102	Cycle1;FRA108E_102
Classe::FRA108E_102	FRA108E;00102;8.0;8.0;0;bran;G201;Gr102

MetaClasse::FRA104	Cycle1;FRA108E_104
Classe::FRA108E_104	FRA108E;00104;8.0;8.0;0;belp;G303;Gr104

MetaClasse::FRA106	Cycle1;FRA108E_106
Classe::FRA108E_106	FRA108E;00106;8.0;8.0;0;belp;G303;Gr106

MetaClasse::ESP102	Cycle1;ESP142_102
Classe::ESP142_102	ESP142;00102;3.0;3.0;0;zelg;P8;Gr102

MetaClasse::ESP104	Cycle1;ESP142_104
Classe::ESP142_104	ESP142;00104;3.0;3.0;0;zelg;P8;Gr104

MetaClasse::ESP106	Cycle1;ESP142_106
Classe::ESP142_106	ESP142;00106;3.0;3.0;0;zelg;P8;Gr106

MetaClasse::ANG111	Cycle1;ESL104_111
Classe::ESL104_111	ESL104;00111;5.0;5.0;0;hari;nil;Gr111

MetaClasse::EPS1B	Cycle1;EPS102_05;EPS102_06;EPS102_07;EPS102_08
Classe::EPS102_05	EPS102;00005;3.0;3.0;0;angm;Pisc;Gr105,Gr106,Gr107,Gr108
Classe::EPS102_06	EPS102;00006;3.0;3.0;0;chal;GymOra;Gr105,Gr106,Gr107,Gr108
Classe::EPS102_07	EPS102;00007;3.0;3.0;0;desms;GymBleu;Gr105,Gr106,Gr107,Gr108
Classe::EPS102_08	EPS102;00008;3.0;3.0;0;pela;GymVert;Gr105,Gr106,Gr107,Gr108

MetaClasse::EPS1C_29	Cycle1;EPS102_09;EPS102_10;EPS102_11;EPS202_09
Classe::EPS102_09	EPS102;00009;3.0;3.0;0;angm;Pisc;Gr109,Gr110,Gr111
Classe::EPS102_10	EPS102;00010;3.0;3.0;0;chal;GymOra;Gr109,Gr110,Gr111
Classe::EPS102_11	EPS102;00111;3.0;3.0;0;desms;GymBleu;Gr109,Gr110,Gr111
Classe::EPS202_09	EPS202;00009;3.0;3.0;0;brije;GymVert;Gr109,Gr29

MetaClasse::ART3A	Cycle2;ECR343_11;ECR343_21;MUA302_11;MUG302_21
Classe::ECR343_11	ECR343;00011;4.0;2.0;1;desl;B118;Gr31,Gr33
Classe::ECR343_21	ECR343;00021;4.0;2.0;2;desl;B118;Gr31,Gr33
Classe::MUA302_11	MUA302;00011;4.0;2.0;1;bruj;B108;Gr31,Gr33
Classe::MUG302_21	MUG302;00021;4.0;2.0;2;bruj;B108;Gr31,Gr33

MetaClasse::ART3B	Cycle2;ECR343_12;ECR343_22;MUA302_22;MUG302_12
Classe::ECR343_12	ECR343;00012;4.0;2.0;1;desl;B118;Gr32,Gr34
Classe::ECR343_22	ECR343;00022;4.0;2.0;2;desl;B118;Gr32,Gr34
Classe::MUA302_22	MUA302;00022;4.0;2.0;2;bruj;B108;Gr32,Gr34
Classe::MUG302_12	MUG302;00012;4.0;2.0;1;bruj;B108;Gr32,Gr34

MetaClasse::ART3C	Cycle2;ECR343_35;ECR343_36;MUG302_35;MUG302_36
Classe::ECR343_35	ECR343;00035;4.0;2.0;2;desl;B118;Gr35
Classe::ECR343_36	ECR343;00036;4.0;2.0;1;desl;B118;Gr36
Classe::MUG302_35	MUG302;00035;4.0;2.0;1;perj;P307;Gr35
Classe::MUG302_36	MUG302;00036;4.0;2.0;2;perj;P307;Gr36

MetaClasse::ART3D	Cycle2;ECR343_37;ECR343_38;MUG302_37;MUG302_38
Classe::ECR343_37	ECR343;00037;4.0;2.0;1;desl;B118;Gr37
Classe::ECR343_38	ECR343;00038;4.0;2.0;2;desl;B118;Gr38
Classe::MUG302_37	MUG302;00037;4.0;2.0;2;perj;B108;Gr37
Classe::MUG302_38	MUG302;00038;4.0;2.0;1;perj;B108;Gr38

MetaClasse::ART2A	Cycle1;MUA204_01;MUG204_01
Classe::MUA204_01	MUA204;00001;4.0;4.0;0;bruj;B108;Gr21,Gr23
Classe::MUG204_01	MUG204;00001;4.0;4.0;0;simc;P307;Gr21,Gr23

MetaClasse::ART2B	Cycle1;MUA204_02;MUG204_02
Classe::MUA204_02	MUA204;00002;4.0;4.0;0;bruj;B108;Gr22,Gr24
Classe::MUG204_02	MUG204;00002;4.0;4.0;0;simc;P307;Gr22,Gr24

MetaClasse::EPS4C_39	Cycle2;EPS302_09;EPS402_07;EPS402_08;EPS402_09
Classe::EPS302_09	EPS302;00009;3.0;3.0;0;angm;Pisc;Gr39,Gr47,Gr48,Gr49
Classe::EPS402_07	EPS402;00007;3.0;3.0;0;brije;Pisc;Gr39,Gr47,Gr48,Gr49
Classe::EPS402_08	EPS402;00008;3.0;3.0;0;chal;GymOra;Gr39,Gr47,Gr48,Gr49
Classe::EPS402_09	EPS402;00009;3.0;3.0;0;pela;GymBleu;Gr39,Gr47,Gr48,Gr49

MetaClasse::EPSP6	Cycle2;EPS600_01;EPS600_02;EPS600_03;EPS600_04
Classe::EPS600_01	EPS600;00001;3.0;3.0;0;angm;Pisc;Gr601,Gr602,Gr603,Gr604
Classe::EPS600_02	EPS600;00002;3.0;3.0;0;robep;GymOra;Gr601,Gr602,Gr603,Gr604
Classe::EPS600_03	EPS600;00003;3.0;3.0;0;chal;GymBleu;Gr601,Gr602,Gr603,Gr604
